,Suburb,Latitude,Longitude,SSC_Code
336,"Kurmond, Sydney",-33.5483333,150.701111,SSC12215
337,"Kurnell, Sydney",-34.0222379,151.1880555,SSC12216
338,"Kurraba Point, Sydney",-33.8415873,151.223028,SSC12217
339,"Kurrajong Hills, Sydney",-33.5420672,150.6483995,SSC12220
340,"Kurrajong, Sydney",-33.5532572,150.6677058,SSC12218
341,"Kyeemagh, Sydney",-33.9492195,151.1607373,SSC12226
342,"Kyle Bay, Sydney",-33.9897577,151.0992166,SSC12227
343,"La Perouse, Sydney",-33.9887589,151.2318011,SSC12230
344,"Lakemba, Sydney",-33.9196311,151.0749236,SSC12257
345,"Lalor Park, Sydney",-33.7649937,150.9288833,SSC12261
346,"Lane Cove North, Sydney",-33.8059265,151.1617117,SSC12267
347,"Lane Cove West, Sydney",-33.8119396,151.150078,SSC12268
348,"Lane Cove, Sydney",-33.8160672,151.1678195,SSC12266
349,"Lansdowne, Sydney",-33.8948687,150.9740821,SSC12272
350,"Lansvale, Sydney",-33.9003985,150.9510782,SSC12275
351,"Laughtondale, Sydney",-33.4224715,151.0267219,SSC12281
352,"Lavender Bay, Sydney",-33.8432002,151.2074155,SSC12285
353,"Leets Vale, Sydney",-33.4316667,150.9511111,SSC12294
354,"Leichhardt, Sydney",-33.8819328,151.155867,SSC12297
355,"Len Waters Estate, Sydney",-33.9146,150.8532,SSC12301
356,"Leonay, Sydney",-33.7650058,150.6511051,SSC12304
357,"Leppington, Sydney",-33.9543857,150.80806378606871,SSC12305
358,"Lethbridge Park, Sydney",-33.7386041,150.8014499,SSC12307
359,"Leumeah, Sydney",-34.0543113,150.8371354,SSC12308
360,"Lewisham, Sydney",-33.8953868,151.1466449,SSC12313
361,"Liberty Grove, Sydney",-33.8413889,151.0838889,SSC12315
362,"Lidcombe, Sydney",-33.8630649,151.0456771,SSC12316
363,"Lilli Pilli, Sydney",-34.0680729,151.1159938,SSC12322
364,"Lilyfield, Sydney",-33.8709879,151.1616185,SSC12325
365,"Lindfield, Sydney",-33.7802907,151.1595848,SSC12339
366,"Linley Point, Sydney",-33.8272222,151.15,SSC12341
367,"Little Bay, Sydney",-33.9834309,151.2470329,SSC12349
368,"Liverpool, Sydney",-33.9198252,150.92566,SSC12361
369,"Llandilo, Sydney",-33.715,150.7511111,SSC12363
370,"Loftus, Sydney",-34.0434357,151.0504559,SSC12371
371,"Londonderry, Sydney",-33.6483333,150.7344444,SSC12375
372,"Long Point, Sydney",-34.0156584,150.8983181,SSC12381
373,"Longueville, Sydney",-33.8291667,151.1686111,SSC12385
374,"Lovett Bay, Sydney",-33.6325997,151.2763618,SSC12397
375,"Lower Portland, Sydney",-33.8354519,151.2083011,SSC12412
376,"Lucas Heights, Sydney",-34.0400221,150.9986588,SSC12417
377,"Luddenham, Sydney",-33.8779831,150.6901151,SSC12419
378,"Lugarno, Sydney",-33.9823958,151.0450193,SSC12421
379,"Lurnea, Sydney",-33.9358333,150.8972222,SSC12422
380,"Macquarie Fields, Sydney",-33.9904477,150.8849303,SSC12433
381,"Macquarie Links, Sydney",-33.9816667,150.8733333,SSC12435
382,"Macquarie Park, Sydney",-33.7814961,151.1256747,SSC12437
383,"Malabar, Sydney",-33.9629779,151.2480171,SSC12453
384,"Manly Vale, Sydney",-33.7830838,151.2659938,SSC12476
385,"Manly, Sydney",-33.8038504,151.2908235,SSC12475
386,"Maraylya, Sydney",-33.5913984,150.9221281,SSC12484
387,"Marayong, Sydney",-33.7491667,150.8919444,SSC12485
388,"Maroota, Sydney",-33.4577956,150.9829191,SSC12500
389,"Maroubra, Sydney",-33.9453441,151.2456824,SSC12501
390,"Marrickville, Sydney",-33.9103854,151.1556908,SSC12504
391,"Marsden Park, Sydney",-33.6956552,150.8147975,SSC12505
392,"Marsfield, Sydney",-33.7777956,151.1032015,SSC12506
393,"Mascot, Sydney",-33.9289562,151.1951782,SSC12519
394,"Matraville, Sydney",-33.9639325,151.2334198,SSC12524
395,"Mays Hill, Sydney",-33.8205758,150.9884915,SSC12538
396,"McGraths Hill, Sydney",-33.615,150.8344444,SSC12542
397,"McMahons Point, Sydney",-33.8443387,151.2027957,SSC12547
398,"Meadowbank, Sydney",-33.8174993,151.0884249,SSC12550
399,"Melrose Park, Sydney",-33.8153435,151.0733298,SSC12563
400,"Menai, Sydney",-34.014811,151.0164823,SSC12567
401,"Menangle Park, Sydney",-34.1034092,150.7468493,SSC12569
402,"Merrylands West, Sydney",-33.8359501,150.9681261,SSC12589
403,"Merrylands, Sydney",-33.8350765,150.9860379,SSC12588
404,"Middle Cove, Sydney",-33.7927992,151.2112471,SSC12602
405,"Middle Dural, Sydney",-33.6367412,151.0127369,SSC12603
406,"Middleton Grange, Sydney",-33.9147154,150.8423882,SSC12607
407,"Miller, Sydney",-33.9205556,150.8805556,SSC12617
408,"Millers Point, Sydney",-33.8599129,151.2041274,SSC12619
409,"Milperra, Sydney",-33.9388237,150.9846424,SSC12625
410,"Milsons Passage, Sydney",-33.5157613,151.1768241,SSC12628
411,"Milsons Point, Sydney",-33.8471255,151.2115234,SSC12629
412,"Minchinbury, Sydney",-33.7866731,150.8272222,SSC12633
413,"Minto Heights, Sydney",-34.0379407,150.8715274,SSC12643
414,"Minto, Sydney",-34.0316667,150.8511111,SSC12642
415,"Miranda, Sydney",-34.0335434,151.1037193,SSC12645
416,"Mona Vale, Sydney",-33.6769931,151.3029577,SSC12672
417,"Monterey, Sydney",-33.9720137,151.1480392,SSC12686
418,"Moore Park, Sydney",-33.8958333,151.2219444,SSC12711
419,"Moorebank, Sydney",-33.9332633,150.949686,SSC12712
420,"Morning Bay, Sydney",-33.628361,151.2879035,SSC12725
421,"Mortdale, Sydney",-33.9672997,151.0721865,SSC12728
422,"Mortlake, Sydney",-33.8410416,151.1061114,SSC12729
423,"Mosman, Sydney",-33.8301355,151.2447663,SSC12738
424,"Mount Annan, Sydney",-34.0782799,150.7632296,SSC12745
425,"Mount Colah, Sydney",-33.6719686,151.1145291,SSC12750
426,"Mount Druitt, Sydney",-33.7705556,150.8205556,SSC12756
427,"Mount Kuring-Gai, Sydney",-33.6530641,151.1368864,SSC12772
428,"Mount Lewis, Sydney",-33.9156089,151.0499433,SSC12774
429,"Mount Pritchard, Sydney",-33.9027189,150.9031488,SSC12785
430,"Mount Vernon, Sydney",-33.8566667,150.8094444,SSC12796
431,"Mulgoa, Sydney",-33.8371562,150.6504013,SSC12814
432,"Mulgrave, Sydney",-33.627219,150.8316603,SSC12815
433,"Narellan Vale, Sydney",-34.0524175,150.7446725,SSC12897
434,"Naremburn, Sydney",-33.8171309,151.2020304,SSC12898
435,"Narrabeen, Sydney",-33.7135699,151.2978164,SSC12902
436,"Narraweena, Sydney",-33.7502066,151.2741566,SSC12910
437,"Narwee, Sydney",-33.9455556,151.0694444,SSC12912
438,"Nelson, Sydney",-33.6478291,150.9213361,SSC12922
439,"Neutral Bay, Sydney",-33.8342887,151.2182049,SSC12934
440,"Newington, Sydney",-33.8342301,151.0558716,SSC12953
441,"Newport, Sydney",-33.6591061,151.3164331,SSC12956
442,"Newtown, Sydney",-33.8961132,151.1801893,SSC12960
443,"Normanhurst, Sydney",-33.7238649,151.0977351,SSC12976
444,"North Balgowlah, Sydney",-33.7881457,151.2507285,SSC12981
445,"North Bondi, Sydney",-33.882351,151.2768611,SSC12984
446,"North Curl Curl, Sydney",-33.7630002,151.2904773,SSC12988
447,"North Epping, Sydney",-33.7586111,151.0941667,SSC12990
448,"North Manly, Sydney",-33.7729035,151.2707221,SSC12997
449,"North Narrabeen, Sydney",-33.70098,151.2936426,SSC12999
450,"North Parramatta, Sydney",-33.7952747,151.0116649,SSC13001
451,"North Richmond, Sydney",-33.5750113,150.7056842,SSC13002
452,"North Rocks, Sydney",-33.7713052,151.020996,SSC13003
453,"North Ryde, Sydney",-33.7975472,151.127306,SSC13005
454,"North St Marys, Sydney",-33.7544444,150.7858333,SSC13007
455,"North Strathfield, Sydney",-33.8588178,151.088578,SSC13009
456,"North Sydney, Sydney",-33.8354519,151.2083011,SSC13010
457,"North Turramurra, Sydney",-33.6911595,151.1519372,SSC13013
458,"North Wahroonga, Sydney",-33.7024148,151.1283034,SSC13015
459,"North Willoughby, Sydney",-33.7941912,151.2004163,SSC13016
460,"Northbridge, Sydney",-33.8111111,151.2175,SSC13022
461,"Northmead, Sydney",-33.7844423,150.9983289,SSC13023
462,"Northwood, Sydney",-33.827964,151.1782693,SSC13024
463,"Oakhurst, Sydney",-33.7372222,150.8347222,SSC13058
464,"Oakville, Sydney",-33.6256687,150.8722092,SSC13060
465,"Oatlands, Sydney",-33.7973385,151.0256526,SSC13063
466,"Oatley, Sydney",-33.9841882,151.0743856,SSC13064
467,"Old Guildford, Sydney",-33.8636111,150.9844444,SSC13077
468,"Old Toongabbie, Sydney",-33.7858548,150.9699533,SSC13081
469,"Oran Park, Sydney",-33.9948805,150.7402568,SSC13091
470,"Orchard Hills, Sydney",-33.7816667,150.7177778,SSC13095
471,"Oxford Falls, Sydney",-33.7335222,151.2449266,SSC13106
472,"Oxley Park, Sydney",-33.7705556,150.795,SSC13110
473,"Oyster Bay, Sydney",-34.0032775,151.0812354,SSC13112
474,"Paddington, Sydney",-33.8841572,151.2272766,SSC13115
475,"Padstow Heights, Sydney",-33.9704029,151.0330262,SSC13121
476,"Padstow, Sydney",-33.9487767,151.030116,SSC13120
477,"Pagewood, Sydney",-33.936838,151.2216943,SSC13125
478,"Palm Beach, Sydney",-33.6005473,151.3231536,SSC13132
479,"Panania, Sydney",-33.9532567,150.9968874,SSC13144
480,"Parklea, Sydney",-33.725,150.9161111,SSC13153
481,"Parramatta, Sydney",-33.8175113,151.0054009,SSC13156
482,"Peakhurst Heights, Sydney",-33.9768872,151.0544039,SSC13169
483,"Peakhurst, Sydney",-33.9616444,151.0590667,SSC13168
484,"Pemulwuy, Sydney",-33.8164641,150.9284441,SSC13181
485,"Pendle Hill, Sydney",-33.7983305,150.959439,SSC13182
486,"Pennant Hills, Sydney",-33.7384663,151.0716639,SSC13183
487,"Penrith, Sydney",-33.7510792,150.6941684,SSC13184
488,"Penshurst, Sydney",-33.9648292,151.0849525,SSC13186
489,"Petersham, Sydney",-33.8945061,151.1554222,SSC13190
490,"Phillip Bay, Sydney",-33.9787887,151.2327229,SSC13193
491,"Picnic Point, Sydney",-33.9709556,151.0072387,SSC13199
492,"Pitt Town Bottoms, Sydney",-33.5872298,150.8449827,SSC13227
493,"Pitt Town, Sydney",-33.5846533,150.8709805,SSC13226
494,"Pleasure Point, Sydney",-33.9725,150.9877778,SSC13229
495,"Plumpton, Sydney",-33.7566667,150.8427778,SSC13230
496,"Point Piper, Sydney",-33.8676276,151.2515727,SSC13233
497,"Port Botany, Sydney",-33.9734678,151.2178519,SSC13243
498,"Port Hacking, Sydney",-34.07353,151.12613,SSC13244
499,"Potts Hill, Sydney",-33.8922191,151.0329222,SSC13255
500,"Potts Point, Sydney",-33.8670797,151.2259967,SSC13256
501,"Prairiewood, Sydney",-33.8631743,150.9055074,SSC13258
502,"Prestons, Sydney",-33.9415149,150.8747464,SSC13260
503,"Prospect, Sydney",-33.8002421,150.9218377,SSC13266
504,"Punchbowl, Sydney",-33.928717,151.0522591,SSC13273
505,"Putney, Sydney",-33.826067,151.1064224,SSC13277
506,"Pymble, Sydney",-33.7450185,151.1424708,SSC13281
507,"Pyrmont, Sydney",-33.8692145,151.1923633,SSC13284
508,"Quakers Hill, Sydney",-33.7344444,150.8788889,SSC13286
509,"Queens Park, Sydney",-33.8991667,151.2472222,SSC13294
510,"Queenscliff, Sydney",-33.7823916,151.2854011,SSC13296
511,"Raby, Sydney",-34.0233333,150.8177778,SSC13303
512,"Ramsgate Beach, Sydney",-33.9824013,151.1461479,SSC13310
513,"Ramsgate, Sydney",-33.982713,151.1399314,SSC13309
514,"Randwick, Sydney",-33.914121,151.2410046,SSC13312
515,"Redfern, Sydney",-33.8931044,151.2040292,SSC13339
516,"Regents Park, Sydney",-33.8820048,151.02569,SSC13345
517,"Regentville, Sydney",-33.7708351,150.6616622,SSC13346
518,"Revesby Heights, Sydney",-33.9683842,151.0189891,SSC13356
519,"Revesby, Sydney",-33.9436876,151.0137191,SSC13355
520,"Rhodes, Sydney",-33.8290589,151.0873578,SSC13358
521,"Richmond Lowlands, Sydney",-33.5652,150.7596,SSC13362
522,"Richmond, Sydney",-33.6009721,150.7496405,SSC13360
523,"Riverstone, Sydney",-33.6797545,150.8616695,SSC13368
524,"Riverview, Sydney",-33.823207,151.1600134,SSC13370
525,"Riverwood, Sydney",-33.9472222,151.0530556,SSC13371
526,"Rockdale, Sydney",-33.9542619,151.1403655,SSC13379
527,"Rodd Point, Sydney",-33.8658359,151.143583,SSC13391
528,"Rookwood, Sydney",-33.8737017,151.0552971,SSC13394
529,"Rooty Hill, Sydney",-33.7688649,150.8411802,SSC13395
530,"Ropes Crossing, Sydney",-33.7291948,150.7788889,SSC13397
531,"Rose Bay, Sydney",-33.8741644,151.265471,SSC13398
532,"Rosebery, Sydney",-33.9185861,151.204692,SSC13405
533,"Rosehill, Sydney",-33.8263889,151.0305556,SSC13408
534,"Roselands, Sydney",-33.9339943,151.0765121,SSC13409
535,"Rosemeadow, Sydney",-34.1066667,150.7927778,SSC13410
536,"Roseville Chase, Sydney",-33.7747222,151.2002778,SSC13413
537,"Roseville, Sydney",-33.7826456,151.1827257,SSC13412
538,"Rossmore, Sydney",-33.9483365,150.7677747,SSC13420
539,"Rouse Hill, Sydney",-33.6774941,150.9160933,SSC13429
540,"Royal National Park, Sydney",-34.0504392,151.0525978,SSC13433
541,"Rozelle, Sydney",-33.8645002,151.1743543,SSC13435
542,"Ruse, Sydney",-34.0733174,150.8463325,SSC13443
543,"Rushcutters Bay, Sydney",-33.8750365,151.2276557,SSC13444
544,"Russell Lea, Sydney",-33.8585361,151.1416007,SSC13447
545,"Rydalmere, Sydney",-33.8117088,151.0411702,SSC13453
546,"Ryde, Sydney",-33.8125405,151.1115717,SSC13454
547,"Sackville North, Sydney",-33.4816597,150.8844376,SSC13459
548,"Sackville, Sydney",-33.4971446,150.8829012,SSC13458
549,"Sadleir, Sydney",-33.9169444,150.8902778,SSC13461
550,"Sandringham, Sydney",-33.9971236,151.1400138,SSC13478
551,"Sandy Point, Sydney",-33.975407,150.9939195,SSC13487
552,"Sans Souci, Sydney",-33.9926292,151.1337972,SSC13489
553,"Scheyville, Sydney",-33.6017926,150.8928527,SSC13501
554,"Schofields, Sydney",-33.6971603,150.8711915,SSC13502
555,"Scotland Island, Sydney",-33.6397464,151.2911746,SSC13505
556,"Seaforth, Sydney",-33.7910792,151.2430284,SSC13509
557,"Sefton, Sydney",-33.8873088,151.0106256,SSC13516
558,"Seven Hills, Sydney",-33.7760305,150.9427044,SSC13518
559,"Shalvey, Sydney",-33.7277778,150.8066667,SSC13523
560,"Shanes Park, Sydney",-33.7075,150.7916667,SSC13524
561,"Silverwater, Sydney",-33.834881,151.0471218,SSC13547
562,"Singletons Mill, Sydney",-33.4648101,151.0738545,SSC13552
563,"Smeaton Grange, Sydney",-34.0340877,150.7553777,SSC13558
564,"Smithfield, Sydney",-33.8478215,150.9408736,SSC13559
565,"South Coogee, Sydney",-33.9322056,151.2539567,SSC13579
566,"South Granville, Sydney",-33.8577778,151.0105556,SSC13583
567,"South Hurstville, Sydney",-33.9777213,151.1060554,SSC13587
568,"South Maroota, Sydney",-33.5127778,150.9522222,SSC13592
569,"South Penrith, Sydney",-33.772521,150.6982616,SSC13596
570,"South Turramurra, Sydney",-33.7510951,151.1084667,SSC13598
571,"South Wentworthville, Sydney",-33.82134,150.9687481,SSC13599
572,"South Windsor, Sydney",-33.6302778,150.8041667,SSC13601
573,"Spring Farm, Sydney",-34.0694444,150.7272284,SSC13612
574,"St Andrews, Sydney",-34.0208333,150.8305556,SSC13631
575,"St Clair, Sydney",-33.7983333,150.7844444,SSC13632
576,"St Helens Park, Sydney",-34.1066667,150.8094444,SSC13637
577,"St Ives Chase, Sydney",-33.7030556,151.1652778,SSC13640
578,"St Ives, Sydney",-33.7258869,151.1727212,SSC13639
579,"St Johns Park, Sydney",-33.8816667,150.9011111,SSC13641
580,"St Leonards, Sydney",-33.8225666,151.1923402,SSC13642
581,"St Marys, Sydney",-33.7650204,150.7677778,SSC13643
582,"St Peters, Sydney",-33.9159472,151.176332,SSC13644
583,"Stanhope Gardens, Sydney",-33.710284,150.9258277,SSC13649
584,"Stanmore, Sydney",-33.8936689,151.1656456,SSC13650
585,"Strathfield South, Sydney",-33.8966667,151.0788889,SSC13676
586,"Strathfield, Sydney",-33.8791285,151.0811758,SSC13675
587,"Summer Hill, Sydney",-33.8933952,151.1368729,SSC13687
588,"Surry Hills, Sydney",-33.8845123,151.2100301,SSC13699
589,"Sutherland, Sydney",-34.0312587,151.0567639,SSC13701
590,"Sydenham, Sydney",-33.9147428,151.1661069,SSC13714
591,"Sydney Olympic Park, Sydney",-33.8387132,151.06912116057384,SSC13716
592,"Sylvania Waters, Sydney",-34.0185844,151.11228,SSC13718
593,"Sylvania, Sydney",-34.0141205,151.0988161,SSC13717
594,"Tamarama, Sydney",-33.8987452,151.2710753,SSC13741
595,"Taren Point, Sydney",-34.0200181,151.1226751,SSC13766
596,"Telopea, Sydney",-33.7939218,151.0409442,SSC13782
597,"Tempe, Sydney",-33.9247552,151.1647529,SSC13785
598,"Tennyson Point, Sydney",-33.8313822,151.116944,SSC13790
599,"Tennyson, Sydney",-33.5316667,150.7344444,SSC13789
600,"Terrey Hills, Sydney",-33.6918185,151.2205908,SSC13804
601,"The Ponds, Sydney",-33.7066667,150.9091667,SSC13835
602,"The Rocks, Sydney",-33.859992,151.2083216,SSC13840
603,"The Slopes, Sydney",-33.5342749,150.7041667,SSC13842
604,"Thornleigh, Sydney",-33.7236616,151.0809407,SSC13850
605,"Toongabbie, Sydney",-33.7866894,150.9526498,SSC13907
606,"Tregear, Sydney",-33.7486957,150.7957569,SSC13934
607,"Turramurra, Sydney",-33.7354346,151.1300645,SSC13980
608,"Turrella, Sydney",-33.9302706,151.1409234,SSC13982
609,"Ultimo, Sydney",-33.8794728,151.1984346,SSC14006
610,"Varroville, Sydney",-34.0066667,150.8177778,SSC14070
611,"Vaucluse, Sydney",-33.8558564,151.2761018,SSC14071
612,"Villawood, Sydney",-33.8857243,150.9837511,SSC14074
613,"Vineyard, Sydney",-33.6483333,150.8677778,SSC14076
614,"Voyager Point, Sydney",-33.9586149,150.9738889,SSC14079
615,"Wahroonga, Sydney",-33.720367,151.1142463,SSC14085
616,"Waitara, Sydney",-33.7094453,151.1055581,SSC14086
617,"Wakeley, Sydney",-33.8736111,150.9086111,SSC14089
618,"Wallacia, Sydney",-33.8653337,150.6409771,SSC14101
619,"Wareemba, Sydney",-33.8575001,151.1319513,SSC14148
620,"Warrawee, Sydney",-33.7279732,151.1232279,SSC14165
621,"Warriewood, Sydney",-33.690306,151.2942716,SSC14173
622,"Warwick Farm, Sydney",-33.915,150.9344444,SSC14177
623,"Waterfall, Sydney",-34.1347694,150.9931332,SSC14182
624,"Waterloo, Sydney",-33.9002762,151.2073137,SSC14183
625,"Watsons Bay, Sydney",-33.8432736,151.2825736,SSC14187
626,"Wattle Grove, Sydney",-33.9564013,150.9405862,SSC14192
627,"Waverley, Sydney",-33.9019365,151.2558816,SSC14200
628,"Waverton, Sydney",-33.8383333,151.1986892,SSC14202
629,"Wedderburn, Sydney",-34.1483333,150.8177778,SSC14209
630,"Wentworth Point, Sydney",-33.8268958,151.0774351,SSC14227
631,"Wentworthville, Sydney",-33.8066667,150.9677778,SSC14228
632,"Werrington County, Sydney",-33.7469444,150.7486111,SSC14236
633,"Werrington Downs, Sydney",-33.7413889,150.7322222,SSC14237
634,"Werrington, Sydney",-33.758666,150.7579617,SSC14235
635,"West Hoxton, Sydney",-33.9316667,150.8344444,SSC14246
636,"West Pennant Hills, Sydney",-33.7478359,151.0350621,SSC14249
637,"West Pymble, Sydney",-33.7646844,151.1318993,SSC14250
638,"West Ryde, Sydney",-33.8094444,151.0858333,SSC14251
639,"Westleigh, Sydney",-33.715,151.0677778,SSC14260
640,"Westmead, Sydney",-33.8076498,150.9877265,SSC14261
641,"Wetherill Park, Sydney",-33.8483333,150.9011111,SSC14264
642,"Whalan, Sydney",-33.7566667,150.8094444,SSC14266
643,"Whale Beach, Sydney",-33.6096795,151.3309449,SSC14267
644,"Wheeler Heights, Sydney",-33.7286867,151.2806965,SSC14268
645,"Wilberforce, Sydney",-33.5566667,150.8344444,SSC14288
646,"Wiley Park, Sydney",-33.9230556,151.0677778,SSC14293
647,"Willmot, Sydney",-33.7247222,150.7938889,SSC14302
648,"Willoughby East, Sydney",-33.7991667,151.2061111,SSC14304
649,"Willoughby, Sydney",-33.8063889,151.2002778,SSC14303
650,"Windsor Downs, Sydney",-33.6566667,150.8094444,SSC14326
651,"Windsor, Sydney",-33.6055342,150.821953,SSC14325
652,"Winston Hills, Sydney",-33.7761098,150.9816606,SSC14335
653,"Wisemans Ferry, Sydney",-33.3852776,150.9868024,SSC14344
654,"Wolli Creek, Sydney",-33.9310296,151.1243159,SSC14353
655,"Wollstonecraft, Sydney",-33.8332039,151.1959273,SSC14359
656,"Woodbine, Sydney",-34.0468369,150.8242711,SSC14378
657,"Woodcroft, Sydney",-33.7586111,150.8783333,SSC14381
658,"Woodpark, Sydney",-33.8413833,150.9602776,SSC14390
659,"Woollahra, Sydney",-33.8857968,151.2440867,SSC14404
660,"Woolloomooloo, Sydney",-33.8718758,151.2192218,SSC14406
661,"Woolooware, Sydney",-34.0448411,151.1401717,SSC14410
662,"Woolwich, Sydney",-33.8401988,151.1710614,SSC14412
663,"Woronora Heights, Sydney",-34.034387,151.027167,SSC14422
664,"Woronora, Sydney",-34.1164957,150.9522795,SSC14420
665,"Yagoona, Sydney",-33.9037907,151.0176677,SSC14453
666,"Yarramundi, Sydney",-33.6318172,150.6679956,SSC14477
667,"Yarrawarrah, Sydney",-34.056681,151.0308884,SSC14485
668,"Yennora, Sydney",-33.8620079,150.9686096,SSC14506
669,"Yowie Bay, Sydney",-34.0502778,151.1033333,SSC14519
670,"Zetland, Sydney",-33.9076623,151.2082183,SSC14524
